file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
S076,0.0,53.235351473922904,INV,-64.85660452667167,-71.05714639027913,7.149044132762809,2.875456697454279
S034,0.0,33.271043083900224,PAR,-65.26358675232943,-62.04308866250395,6.618947125102544,5.226356244193661
S033,0.0,48.71634920634921,INV,-53.22583769499179,-51.503583145141604,6.596228052033661,1.6038917237404284
S020,0.0,53.178117913832196,INV,-48.5661844208349,-58.06348555428641,6.506366699893287,6.559547712227349
S019,0.0,54.53639455782313,INV,-58.38652250641731,-57.679123913800275,6.441675002595784,1.1551402452185329
S058,0.0,49.11020408163265,INV,-68.38457671553655,-61.16698243882921,5.453411063245997,-1.404283305666656
S027,0.0,74.33861678004536,INV,-44.96391579230562,-64.81679821014404,5.383843396267967,3.7552027611674887
S071,0.0,35.18054421768707,PAR,-62.74495007816942,-61.834235429763794,5.078138867371644,4.9341397142690795
S030,0.0,59.65501133786848,INV,-63.76394883506537,-64.21352714716002,4.772145741833355,1.5551821321683548
S048,0.0,71.74934240362812,INV,-54.41131097560976,-60.765308141708374,4.678949841309969,4.376523165136673
S032,0.0,52.948956916099775,INV,-65.80990321057601,-60.823574611118865,4.590600966395023,1.069474456313495
S017,0.0,30.81580498866213,PAR,-58.11955507787151,-59.971548992654554,4.56416860658327,4.977081526569609
S061,0.0,92.78249433106576,INV,-65.44658735718905,-58.52701849095962,4.464942979400494,3.067710199368351
S013,0.0,34.13603174603175,INV,-56.011794266256594,-63.815490177699495,4.4388031959342,5.182674504727043
S039,0.0,83.7927664399093,INV,-64.94090881966822,-55.2589734986771,4.084172254211893,-1.9863014528676342
S016,0.0,59.78702947845805,INV,-61.24626818866031,-57.50100898742676,4.011283197980445,4.245051170961091
S025,0.0,135.67793650793652,PAR,-47.277122641509436,-52.643192291259766,3.9808652914551783,0.6479655760768246
S056,0.0,82.27839002267574,PAR,-63.299066449927075,-63.69966125488281,3.8773991280479825,1.1613078619327162
S015,0.0,56.60308390022676,INV,-62.369793507067136,-62.71078681945801,3.8659473504528568,5.971607529113456
S018,0.0,71.28151927437642,INV,-56.84943620230079,-64.3369992574056,3.8659469102742032,0.7374697800480909
S001,0.0,88.8622902494331,INV,-61.18570644834571,-56.89803022496841,3.6396995267294407,0.6766095386983046
S029,0.0,54.67328798185941,INV,-46.830720116151454,-48.750048319498696,3.5761820843579426,3.373863579781716
S024,0.0,82.67678004535148,INV,-65.25837566521528,-64.27800420125325,3.3699421417247044,0.1548870142114076
S077,0.0,71.36278911564627,INV,-65.91433838985427,-65.48608907063802,3.0329986376119775,1.1998859294944992
S073,0.0,60.18605442176871,INV,-67.37721174613723,-61.65405441993891,2.979753274608155,1.2926164879797746
S062,0.0,40.802902494331065,PAR,-47.44430912990196,-56.333650168726,2.965637766239392,6.319813225771494
S070,0.0,51.97875283446712,INV,-69.91655444401692,-65.09472340550916,2.681900662630468,-1.6817484795698938
S063,0.0,43.333492063492066,INV,-50.67801249134549,-61.970845560873705,2.6055291914368124,4.2731084655265015
S043,0.0,73.11659863945579,PAR,-63.52259556208971,-65.32068506876628,2.070006477587595,-5.751735488889736
S038,0.0,102.39297052154195,PAR,-48.280847128625844,-45.792522831967005,1.9877498548083212,6.588165120468908
S064,0.0,38.57827664399093,INV,-61.92751263608087,-59.87795145371381,1.9832114795042441,2.2744900475395724
S009,0.0,54.06643990929705,INV,-46.20532700665804,-62.50893887606534,1.9458546105263927,6.329964268982831
S067,0.0,37.11421768707483,INV,-66.0418729789814,-63.3157065709432,1.6687695503325797,2.720846778222983
S072,0.0,59.14092970521542,INV,-65.98050177544809,-57.04331874847412,1.6278386739328097,-1.2715495026954269
S036,0.0,56.52285714285714,INV,-57.35798168789809,-60.67814602571375,1.5182921066997852,1.5389670948995153
S003,0.0,69.14467120181406,PAR,-58.29844337575933,-55.460577646891274,1.5027553717107744,1.7417959818421878
S041,0.0,72.95272108843537,PAR,-56.70678118574366,-56.83530902862549,1.4920546033046396,2.8371315620755873
